seconds_since_2019_07_04_utc,magnitude,event_id
188683.320,3.67,ci37222092
188724.620,2.74,ci37222108
188736.100,2.96,ci37222116
188769.860,2.85,ci37222124
188777.230,2.87,ci37222132
188797.290,3.23,ci37222140
188815.770,2.83,ci37222148
188830.340,3.59,ci38457903
188889.260,3.51,ci37222156
188918.500,3.16,ci37222164
188942.200,3.6,ci38457911
188961.400,3.08,ci37263516
189003.430,3.23,ci37224788
189009.210,3,ci37263644
189044.040,3.04,ci38457919
189046.820,3.49,ci37224748
189065.250,3.54,ci38457927
189079.460,3.75,ci37224756
189098.200,3.41,ci37224764
189102.380,3.28,ci37263532
189122.530,2.91,ci37263540
189132.860,3.17,ci37263548
189146.130,2.91,ci37263556
189162.690,2.97,ci37263564
189184.730,2.84,ci37263660
189192.360,2.9,ci37263668
189204.410,3.34,ci38457935
189214.330,2.98,ci37263676
189220.150,3.05,ci37263684
189230.060,3.61,ci37224772
189241.800,3.22,ci37224796
189251.150,3.53,ci37224780
189264.330,3.13,ci37224804
189278.320,3.18,ci37224812
189287.830,2.78,ci37263700
189299.880,2.57,ci37263692
189315.900,3.21,ci37224820
189379.870,2.74,ci37224916
189390.490,3.17,ci38457951
189394.900,2.88,ci37224956
189403.370,2.86,ci37224940
189410.230,3.8,ci37224932
189415.310,4.85,ci38457967
189433.570,4.33,ci37224964
189451.520,3.22,ci37263716
189463.640,3.27,ci37224972
189488.610,3.59,ci37263724
189504.630,3.02,ci37263732
189550.040,3.15,ci38457975
189583.930,3.42,ci37224980
189586.020,3.4,ci37224988
189609.690,3.42,ci37224996
189615.980,4.24,ci38457983
189639.610,3.39,ci37225004
189663.050,3.61,ci38457991
189696.260,2.79,ci37225012
189709.210,3.45,ci38457999
189736.440,2.62,ci37225020
189746.860,2.77,ci37225028
189767.400,2.74,ci37225036
189774.390,3.36,ci38458007
189802.910,3.14,ci37225044
189849.190,3.03,ci38458015
189872.390,3.33,ci38458023
189877.670,3.14,ci37225084
189922.590,2.53,ci37225124
189925.550,2.88,ci37225140
189928.810,2.6,ci37225132
189936.470,3.56,ci38458031
189940.920,3.33,ci37225100
189970.120,2.6,ci37225148
189997.600,2.89,ci37225156
190050.930,3.05,ci38458047
190057.150,3.16,ci37225172
190090.820,2.9,ci37225180
190115.640,2.97,ci37225188
190128.860,3.12,ci37225196
190137.880,2.97,ci37263740
190142.340,3.05,ci37225204
190159.140,2.65,ci37225212
190182.550,3.71,ci38458063
190196.620,2.98,ci37263756
190204.100,3.68,ci37225220
190211.880,3.51,ci37263764
190216.120,3.72,ci37225228
190223.490,3.41,ci37263772
190242.220,3.45,ci37225388
190263.290,2.6,ci37225396
190300.760,2.65,ci37263804
190303.570,2.82,ci37225404
190309.070,3.04,ci37225412
190324.010,3.54,ci38458071
190337.710,4.47,ci38458079
190365.230,3.4,ci37225420
190383.960,3.54,ci37225428
190421.990,3.98,ci38458087
190425.340,3.66,ci37225436
190444.720,2.94,ci37225452
190474.810,2.94,ci38458095
190521.890,3,ci37225548
190522.740,3.14,ci38458103
190547.030,3.04,ci38458111
190562.220,3.22,ci38458119
190573.980,2.6,ci37426981
190646.620,3.26,ci38458127
190692.040,3.45,ci38458135
190716.690,4.03,ci38458143
190744.030,2.81,ci37427045
190756.420,2.98,ci37427053
190784.740,2.62,ci37427061
190800.780,2.67,ci37427069
190829.050,3.24,ci38458159
190843.610,3.09,ci37427093
190854.290,2.84,ci37427101
190903.090,2.91,ci37427165
190910.660,2.98,ci37427173
190911.260,2.93,ci37427181
190913.030,3,ci37427197
190955.720,2.61,ci37427205
190977.520,2.6,ci37427245
190987.180,3.51,ci37427213
191016.720,3.45,ci38458167
191059.720,3.63,ci38458175
191063.380,3.61,ci37427253
191081.920,2.73,ci37427261
191093.860,3.11,ci38458183
191106.070,2.76,ci37427373
191135.650,2.95,ci37427381
191154.090,2.5,ci37427389
191169.590,2.78,ci38458191
191177.800,2.7,ci37427397
191216.030,3.27,ci38458199
191225.690,2.93,ci38458207
191291.260,3.67,ci38458215
191322.570,3,ci37427405
191371.790,3.44,ci38458223
191399.590,3.11,ci37427421
191409.260,3.51,ci37427437
191437.380,2.55,ci37427445
191444.280,2.52,ci38458231
191493.120,2.72,ci38458239
191531.470,2.59,ci37263852
191533.040,2.99,ci38458247
191534.240,2.71,ci37427469
191534.570,2.69,ci37263844
191556.300,2.64,ci37427533
191575.380,2.78,ci38458255
191582.510,2.57,ci37427541
191590.390,2.52,ci37427549
191594.990,3.97,ci38458263
191631.490,3.21,ci37427557
191661.890,2.7,ci37427589
191662.180,2.86,ci38458271
191694.790,2.91,ci37226684
191696.880,3.38,ci38458287
191718.850,2.57,ci37226692
191731.400,2.99,ci37226836
191737.240,3.52,ci38458295
191765.280,3.32,ci37226844
191780.470,3.17,ci37226852
191806.880,2.64,ci37226860
191828.060,2.78,ci37226868
191851.240,2.7,ci37226876
191855.960,2.53,ci37226892
191869.530,2.9,ci37226884
191900.840,2.54,ci37226908
191910.310,3.07,ci37226900
191977.350,3.06,ci38458303
192043.890,2.61,ci38458311
192062.300,3.06,ci37226940
192071.120,3.26,ci38458327
192081.760,2.82,ci37263868
192094.750,2.56,ci37226948
192096.180,2.95,ci37263884
192137.350,2.64,ci37263892
192151.120,2.99,ci38458335
192154.420,3.06,ci37226956
192172.800,3.16,ci37226964
192202.200,2.86,ci38458343
192229.830,3.05,ci38458359
192248.650,2.83,ci38458351
192250.510,2.81,ci37263972
192257.130,2.96,ci37227004
192304.870,4.29,ci38458375
192336.710,3.5,ci37227020
192341.850,3.32,ci37263980
192365.990,3.3,ci38458383
192384.440,2.93,ci37227028
192413.000,3.45,ci38458391
192425.020,3.44,ci37227036
192448.120,3.07,ci37227044
192462.150,2.94,ci37227052
192485.080,3.04,ci37227068
192519.220,3.16,ci38458407
192523.140,3.48,ci37227076
192547.270,3.17,ci37227084
192568.650,3,ci37227156
192580.360,3.04,ci38458415
192617.980,2.63,ci37227164
192639.780,2.66,ci38458423
192643.690,3.09,ci37227172
192716.580,3.39,ci38458431
192737.910,3.1,ci37227196
192749.140,3.27,ci37227204
192763.080,3.14,ci37227220
192769.970,2.72,ci37263988
192779.940,3.61,ci38458439
192793.660,3.38,ci37227228
192823.450,2.67,ci37227236
192848.110,3.03,ci38458447
192870.380,2.74,ci37227244
192904.880,2.68,ci38458455
192927.510,2.67,ci37227252
192933.180,2.88,ci38458463
192950.450,2.89,ci37227260
192971.580,2.5,ci37227268
193006.600,2.85,ci38458471
193050.430,3.32,ci38458479
193094.420,2.74,ci37227324
193135.050,2.64,ci37227332
193154.300,3.44,ci38458487
193208.510,3.27,ci38458495
193209.270,3.13,ci37227348
193216.280,3.26,ci37227356
193292.240,3.56,ci38458503
193296.030,3.66,ci37227372
193308.390,3.78,ci37227380
193352.470,2.99,ci37227388
193352.850,2.88,ci37227396
193365.360,2.89,ci37227404
193386.410,2.78,ci37227412
193402.370,3.34,ci38458511
193429.050,2.82,ci37227476
193429.860,2.84,ci38458519
193448.930,3.44,ci38458527
193457.230,3.35,ci37227500
193472.760,2.91,ci37227508
193479.790,2.77,ci37227516
193492.010,2.7,ci37227524
193526.320,3.08,ci38458535
193541.870,2.84,ci37227532
193566.840,3.05,ci38458543
193628.600,2.71,ci37227796
193683.750,2.5,ci37227812
193797.470,3.03,ci37227996
193815.300,3.02,ci37228004
193816.350,2.86,ci37227988
193849.260,2.69,ci37228012
193890.690,2.78,ci37228036
193909.700,3.39,ci38458567
193925.350,3.62,ci38458575
193970.320,2.8,ci37228052
193975.390,2.92,ci37228068
194107.100,2.98,ci38458599
194121.960,2.9,ci38458607
194162.490,2.5,ci38458615
194169.740,2.52,ci37228084
194174.480,2.81,ci37228092
194189.090,2.74,ci38458623
194204.090,2.65,ci38458631
194224.230,2.6,ci38458639
194243.120,2.53,ci37228100
194293.420,2.79,ci37228108
194297.570,4.15,ci38458655
194325.840,3.45,ci38458647
194384.190,3.57,ci38458663
194457.770,3.5,ci38458671
194506.390,3.09,ci37263996
194511.800,4.63,ci38458679
194550.250,3.2,ci37420885
194570.160,2.67,ci37228116
194604.510,2.69,ci37228276
194621.430,2.73,ci37228284
194628.180,3.19,ci37228292
194642.310,2.64,ci37228300
194647.880,2.84,ci37228308
194653.100,2.74,ci37228316
194674.100,3.46,ci38458687
194696.980,2.55,ci37228324
194718.150,2.66,ci37228436
194735.620,2.89,ci38458695
194759.580,2.8,ci38458703
194792.980,2.73,ci38458711
194807.100,2.94,ci37228444
194818.610,3.02,ci37228468
194828.680,3.53,ci38458719
194851.920,2.93,ci37264004
194860.070,3.37,ci37420965
194881.540,2.71,ci38458727
194890.510,2.94,ci37228476
194930.170,2.71,ci37228604
194948.080,3.02,ci38458735
195105.230,2.52,ci37228652
195172.000,4.27,ci38458759
195203.000,3.02,ci37264012
195215.610,2.99,ci37264020
195255.680,3.33,ci38458767
195302.990,2.78,ci38458775
195316.120,2.86,ci37228692
195320.400,2.59,ci37228700
195361.130,3.21,ci38458783
195430.080,2.84,ci38458791
195440.990,3.45,ci38458799
195474.830,2.67,ci37228812
195488.980,2.77,ci38458823
195491.250,3.55,ci38458815
195525.970,3.45,ci37228820
195582.410,3.14,ci38458831
195597.920,2.56,ci37228844
195633.160,2.82,ci38458839
195653.690,2.72,ci37228852
195657.480,2.93,ci37228860
195722.620,2.56,ci38458847
195755.560,2.58,ci38458855
195952.490,2.93,ci37228964
195958.220,2.99,ci38458887
195978.620,3.06,ci38458895
196013.340,3.42,ci38458903
196053.010,2.94,ci38458911
196064.450,2.75,ci37229100
196124.340,2.91,ci38458927
196131.870,2.89,ci38458935
196137.500,3.3,ci37229124
196165.330,2.97,ci37229132
196227.120,2.7,ci37229156
196245.870,3.31,ci38458943
196250.570,3.13,ci37229172
